state,year,mean_ndvi
Delhi,2019,0.3812
Goa,2019,0.6452
Gujarat,2019,0.4009
Haryana,2019,0.5228
Himachal Pradesh,2019,0.3642
Karnataka,2019,0.4843
Kerala,2019,0.7226
Lakshadweep,2019,0.5753
Maharashtra,2019,0.4619
Manipur,2019,0.7641
Meghalaya,2019,0.7446
Mizoram,2019,0.8078
Nagaland,2019,0.7866
Orissa,2019,0.5822
Punjab,2019,0.5862
Rajasthan,2019,0.3145
Sikkim,2019,0.4495
Tamil Nadu,2019,0.4927
Tripura,2019,0.7351
West Bengal,2019,0.5651
Arunachal Pradesh,2019,0.7671
Chandigarh,2019,0.4587
Dadra and Nagar Haveli,2019,0.4838
Daman and Diu,2019,0.4973
Puducherry,2019,0.5514
Bihar,2020,0.534
Chhattisgarh,2020,0.5809
Jharkhand,2020,0.5654
Madhya Pradesh,2020,0.5282
Uttar Pradesh,2020,0.5238
Uttarakhand,2020,0.528
Andaman and Nicobar,2020,0.8043
Andhra Pradesh,2020,0.5286
Assam,2020,0.6194
Delhi,2020,0.39
Goa,2020,0.6767
Gujarat,2020,0.4386
Haryana,2020,0.5085
Himachal Pradesh,2020,0.37
Karnataka,2020,0.5247
Kerala,2020,0.7539
Lakshadweep,2020,0.5175
Maharashtra,2020,0.528
Manipur,2020,0.7577
Meghalaya,2020,0.726
Mizoram,2020,0.8076
Nagaland,2020,0.7812
Orissa,2020,0.6124
Punjab,2020,0.5771
Rajasthan,2020,0.3223
Sikkim,2020,0.4247
Tamil Nadu,2020,0.5332
Tripura,2020,0.7388
West Bengal,2020,0.5818
Arunachal Pradesh,2020,0.7538
Chandigarh,2020,0.4632
Dadra and Nagar Haveli,2020,0.5364
Daman and Diu,2020,0.5141
Puducherry,2020,0.5783
